group,Chile ⭐
ext,TELEMUNDO 47 NEWYORK. 02,http://streamgo.vip:8008/DOCA20/DOCA2020/121366
ext,TELEMUNDO 47 NEWYORK,http://streamgo.vip:8008/DOCA20/DOCA2020/121367
ext,TELEMUNDO 39 DALLAS (ESP,http://streamgo.vip:8008/DOCA20/DOCA2020/121368
ext,Telemundo San Francisco HD,http://streamgo.vip:8008/DOCA20/DOCA2020/121369
ext,Telemundo California @,http://streamgo.vip:8008/DOCA20/DOCA2020/121370
ext,TELEMUNDO INTERNACIONAL 02,http://streamgo.vip:8008/DOCA20/DOCA2020/121371
ext,USA | Telemundo Bostonⓧ HD,http://streamgo.vip:8008/DOCA20/DOCA2020/121372
ext,USA | Telemundo Houstonⓧ FHD,http://streamgo.vip:8008/DOCA20/DOCA2020/121373

group,Deporte Colombia ⚽
ext,CO | WIN SPORTS + HD OPC 1 (E),http://streamgo.vip:8008/DOCA20/DOCA2020/121422
ext,CO | WIN SPORTS + SD,http://streamgo.vip:8008/DOCA20/DOCA2020/121423
ext,CO | WinSports  FHD (L),http://streamgo.vip:8008/DOCA20/DOCA2020/121425
ext,CO | WinSports FHD DIREC,http://streamgo.vip:8008/DOCA20/DOCA2020/121426
ext,CO | WinSports FHD OP2,http://streamgo.vip:8008/DOCA20/DOCA2020/121427
ext,CO | WinSports FHD,http://streamgo.vip:8008/DOCA20/DOCA2020/121428
ext,COL | WIN SPORTS + SD,http://streamgo.vip:8008/DOCA20/DOCA2020/121429


group,Eventos Exclusivos ⭐
ext,STAR+ EVENTOS,http://streamgo.vip:8008/DOCA20/DOCA2020/124510
ext,EVENTOS ESPN+,http://streamgo.vip:8008/DOCA20/DOCA2020/124509
ext,EVENTOS Batalla de gallos,http://streamgo.vip:8008/DOCA20/DOCA2020/124507
ext,EVENTO Redbull TV,http://streamgo.vip:8008/DOCA20/DOCA2020/124506
ext,EVENTOS NBA TV,http://streamgo.vip:8008/DOCA20/DOCA2020/124503
